species,element_a,element_b,charge,electronic_state,phase,temperature_K,endpoint,value_kJ_mol,uncertainty_kJ_mol,uncertainty_status,provenance_record
H2,H,H,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,432.1,,not_reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
LiH,Li,H,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,233.0,1.0,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
Li2,Li,Li,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,100.0,3.6,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
BeH,Be,H,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,216.8,29.4,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
BH,B,H,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,336.4,9.8,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
B2,B,B,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,290.0,18.0,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
CH,C,H,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,334.7,1.4,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
C2,C,C,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,600.0,10.0,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
NH,N,H,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,328.5,10.0,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
BN,B,N,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,470.0,60.2,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
CN,C,N,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,745.0,5.0,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
N2,N,N,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,941.6,0.8,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
OH,O,H,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,425.8,0.3,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
BO,B,O,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,800.0,12.1,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
CO,C,O,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,1071.8,0.5,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
NO,N,O,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,627.1,0.4,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
O2,O,O,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,493.7,0.2,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
HF,H,F,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,566.6,0.8,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
BF,B,F,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,747.2,11.2,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
CF,C,F,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,536.9,8.0,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
F2,F,F,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,154.5,0.6,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
FO,F,O,0,CCCBDB state 1 / configuration 1 (ground-state record),gas,0,D0 dissociation energy to ground-state atoms,215.7,10.0,reported,NIST CCCBDB Experimental Atomization Energies; selected species snapshot
