ubp_id,symbol,id_atomic_number,period,chemical_class,lexicon,vector_weight,nrci,tax_exact,atomic_mass,boiling_point,melting_point,atomic_number,density
ELEM_H_001,H,1,PERIOD_1,NONMETAL,"[Element: Hydrogen (H)], [Hydrogen (Z=1). A Gas (Phase 1) with Hexagonal potential. Valence 1. Tension: 4. It is the seed of the material octave, born from the Proton-Electron union.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,126/125,507/25,1401/100,1,2247/25000
ELEM_He_002,He,2,PERIOD_1,NOBLE_GAS,"[Element: Helium (He)], [Helium (Z=2). A Gas (Phase 1) with FCC/Cubic potential. Valence 2. Tension: 4. The first noble closure, completing the 1s shell.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,20013/5000,211/50,19/20,2,893/5000
ELEM_Li_003,Li,3,PERIOD_2,ALKALI_METAL,"[Element: Lithium (Li)], [Lithium (Z=3). A Solid (Phase 3) with BCC potential. Valence 1. Tension: 7. Period 2 alkali opener, single valence electron seeking union.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,6941/1000,1615,9073/20,3,267/500
ELEM_Be_004,Be,4,PERIOD_2,ALKALINE_EARTH,"[Element: Beryllium (Be)], [Beryllium (Z=4). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 6. A Alkaline Earth element in period 2.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,45061/5000,2742,1560,4,37/20
ELEM_B_005,B,5,PERIOD_2,METALLOID,"[Element: Boron (B)], [Boron (Z=5). A Solid (Phase 3) with Other/Unknown potential. Valence 3. Tension: 8. A Metalloid element in period 2.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,1081/100,4200,2349,5,117/50
ELEM_C_006,C,6,PERIOD_2,NONMETAL,"[Element: Carbon (C)], [Carbon (Z=6). A Solid (Phase 3) with Hexagonal potential. Valence 4. Tension: 6. A Nonmetal element in period 2.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,12011/1000,4098,3823,6,2267/1000
ELEM_N_007,N,7,PERIOD_2,NONMETAL,"[Element: Nitrogen (N)], [Nitrogen (Z=7). A Gas (Phase 1) with Hexagonal potential. Valence 5. Tension: 4. A Nonmetal element in period 2.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,14007/1000,1934/25,1263/20,7,1251/1000
ELEM_O_008,O,8,PERIOD_2,NONMETAL,"[Element: Oxygen (O)], [Oxygen (Z=8). A Gas (Phase 1) with Monoclinic potential. Valence 6. Tension: 6. A Nonmetal element in period 2.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,15999/1000,451/5,1359/25,8,1429/1000
ELEM_F_009,F,9,PERIOD_2,HALOGEN,"[Element: Fluorine (F)], [Fluorine (Z=9). A Gas (Phase 1) with Monoclinic potential. Valence 7. Tension: 9. A Halogen element in period 2.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,9499/500,8503/100,5353/100,9,212/125
ELEM_Ne_010,Ne,10,PERIOD_2,NOBLE_GAS,"[Element: Neon (Ne)], [Neon (Z=10). A Gas (Phase 1) with FCC/Cubic potential. Valence 8. Tension: 3. A noble gas closure at period 2, full shell stability.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,1009/50,2707/100,614/25,10,4501/5000
