ubp_id,symbol,atomic_number_identity,channel,value_exact,unit,condition,uncertainty,source,status
ELEM_H_001,H,1,atomic_mass,126/125,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_H_001,H,1,boiling_point,507/25,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_H_001,H,1,melting_point,1401/100,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_H_001,H,1,atomic_number,1,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_H_001,H,1,density,2247/25000,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_He_002,He,2,atomic_mass,20013/5000,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_He_002,He,2,boiling_point,211/50,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_He_002,He,2,melting_point,19/20,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_He_002,He,2,atomic_number,2,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_He_002,He,2,density,893/5000,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Li_003,Li,3,atomic_mass,6941/1000,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Li_003,Li,3,boiling_point,1615,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Li_003,Li,3,melting_point,9073/20,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Li_003,Li,3,atomic_number,3,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Li_003,Li,3,density,267/500,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Be_004,Be,4,atomic_mass,45061/5000,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Be_004,Be,4,boiling_point,2742,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Be_004,Be,4,melting_point,1560,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Be_004,Be,4,atomic_number,4,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Be_004,Be,4,density,37/20,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
