target,split,config,n,accuracy,balanced_accuracy,classes
Period,z_mod_5,z_poly,118,0.635593220338983,0.3869047619047619,7
Period,z_mod_5,message_bits,118,0.652542372881356,0.46478174603174605,7
Period,z_mod_5,golay_bits,118,0.4322033898305085,0.3000992063492064,7
Period,z_mod_5,mog_planar,118,0.2796610169491525,0.19196428571428573,7
Period,z_mod_5,mog_stacked,118,0.2711864406779661,0.1939484126984127,7
Period,z_mod_5,mog_cylinder,118,0.2711864406779661,0.17410714285714285,7
Period,z_mod_5,mog_sphere,118,0.2627118644067797,0.17956349206349206,7
Period,z_mod_5,gray_message_bits,118,0.7457627118644068,0.6101190476190476,7
Period,z_mod_5,gray_golay_bits,118,0.6016949152542372,0.43700396825396826,7
Period,z_mod_5,gray_mog_planar,118,0.3305084745762712,0.2078373015873016,7
Period,z_mod_5,gray_mog_stacked,118,0.3474576271186441,0.22371031746031747,7
Period,z_mod_5,gray_mog_cylinder,118,0.3474576271186441,0.2068452380952381,7
Period,z_mod_5,gray_mog_sphere,118,0.4067796610169492,0.26884920634920634,7
Period,z_mod_5,random_00,118,0.3898305084745763,0.2574404761904762,7
Period,z_mod_5,random_01,118,0.3559322033898305,0.24206349206349206,7
Period,z_mod_5,random_02,118,0.3050847457627119,0.19543650793650794,7
Period,z_mod_5,random_03,118,0.2966101694915254,0.18055555555555555,7
Period,z_mod_5,random_04,118,0.2966101694915254,0.18402777777777776,7
Period,z_mod_5,random_05,118,0.3474576271186441,0.21428571428571427,7
Period,z_mod_5,random_06,118,0.3305084745762712,0.20188492063492064,7
Period,z_mod_5,random_07,118,0.3220338983050847,0.19047619047619047,7
Period,shuffled_target,z_poly,118,0.2966101694915254,0.15625,7
Period,shuffled_target,mog_planar,118,0.3050847457627119,0.16765873015873017,7
Group,z_mod_5,z_poly,118,0.2711864406779661,0.06766917293233082,19
Group,z_mod_5,message_bits,118,0.2627118644067797,0.07293233082706767,19
Group,z_mod_5,golay_bits,118,0.1864406779661017,0.07117794486215538,19
Group,z_mod_5,mog_planar,118,0.211864406779661,0.05789473684210527,19
Group,z_mod_5,mog_stacked,118,0.23728813559322035,0.07719298245614035,19
Group,z_mod_5,mog_cylinder,118,0.2288135593220339,0.07543859649122807,19
Group,z_mod_5,mog_sphere,118,0.19491525423728814,0.06716791979949874,19
Group,z_mod_5,gray_message_bits,118,0.2627118644067797,0.06716791979949874,19
Group,z_mod_5,gray_golay_bits,118,0.2542372881355932,0.06541353383458647,19
Group,z_mod_5,gray_mog_planar,118,0.19491525423728814,0.04035087719298246,19
Group,z_mod_5,gray_mog_stacked,118,0.1864406779661017,0.044360902255639094,19
Group,z_mod_5,gray_mog_cylinder,118,0.19491525423728814,0.051879699248120296,19
Group,z_mod_5,gray_mog_sphere,118,0.22033898305084745,0.05839598997493735,19
Group,z_mod_5,random_00,118,0.19491525423728814,0.04035087719298246,19
Group,z_mod_5,random_01,118,0.19491525423728814,0.0531328320802005,19
Group,z_mod_5,random_02,118,0.1864406779661017,0.05263157894736842,19
Group,z_mod_5,random_03,118,0.15254237288135594,0.03859649122807017,19
Group,z_mod_5,random_04,118,0.16101694915254236,0.03333333333333333,19
Group,z_mod_5,random_05,118,0.1694915254237288,0.03508771929824561,19
Group,z_mod_5,random_06,118,0.19491525423728814,0.04611528822055138,19
Group,z_mod_5,random_07,118,0.211864406779661,0.06365914786967418,19
Group,shuffled_target,z_poly,118,0.2457627118644068,0.05087719298245614,19
Group,shuffled_target,mog_planar,118,0.1440677966101695,0.042606516290726815,19
StandardState,z_mod_5,z_poly,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,message_bits,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,golay_bits,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,mog_planar,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,mog_stacked,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,mog_cylinder,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,mog_sphere,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,gray_message_bits,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,gray_golay_bits,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,gray_mog_planar,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,gray_mog_stacked,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,gray_mog_cylinder,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,gray_mog_sphere,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,random_00,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,random_01,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,random_02,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,random_03,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,random_04,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,random_05,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,random_06,118,0.8135593220338984,0.2,5
StandardState,z_mod_5,random_07,118,0.8135593220338984,0.2,5
StandardState,shuffled_target,z_poly,118,0.8135593220338984,0.2,5
StandardState,shuffled_target,mog_planar,118,0.8050847457627118,0.19791666666666669,5
GroupBlock,z_mod_5,z_poly,118,0.2796610169491525,0.0868421052631579,10
GroupBlock,z_mod_5,message_bits,118,0.3728813559322034,0.19318067897015265,10
GroupBlock,z_mod_5,golay_bits,118,0.2966101694915254,0.13882661198450671,10
GroupBlock,z_mod_5,mog_planar,118,0.2457627118644068,0.09084529505582137,10
GroupBlock,z_mod_5,mog_stacked,118,0.2796610169491525,0.11186602870813397,10
GroupBlock,z_mod_5,mog_cylinder,118,0.2711864406779661,0.10116427432216905,10
GroupBlock,z_mod_5,mog_sphere,118,0.22033898305084745,0.0813397129186603,10
GroupBlock,z_mod_5,gray_message_bits,118,0.5169491525423728,0.28803827751196176,10
GroupBlock,z_mod_5,gray_golay_bits,118,0.4406779661016949,0.2603189792663477,10
GroupBlock,z_mod_5,gray_mog_planar,118,0.3050847457627119,0.14270676691729323,10
GroupBlock,z_mod_5,gray_mog_stacked,118,0.3135593220338983,0.14533834586466166,10
GroupBlock,z_mod_5,gray_mog_cylinder,118,0.3220338983050847,0.16007518796992481,10
GroupBlock,z_mod_5,gray_mog_sphere,118,0.3220338983050847,0.14035087719298245,10
GroupBlock,z_mod_5,random_00,118,0.2711864406779661,0.11039416723627249,10
GroupBlock,z_mod_5,random_01,118,0.2966101694915254,0.13766689450899977,10
GroupBlock,z_mod_5,random_02,118,0.2796610169491525,0.102531328320802,10
GroupBlock,z_mod_5,random_03,118,0.2542372881355932,0.0906015037593985,10
GroupBlock,z_mod_5,random_04,118,0.2627118644067797,0.10368421052631578,10
GroupBlock,z_mod_5,random_05,118,0.2966101694915254,0.09614035087719298,10
GroupBlock,z_mod_5,random_06,118,0.2457627118644068,0.08277511961722488,10
GroupBlock,z_mod_5,random_07,118,0.2627118644067797,0.10892230576441102,10
GroupBlock,shuffled_target,z_poly,118,0.3220338983050847,0.1,10
GroupBlock,shuffled_target,mog_planar,118,0.2288135593220339,0.08154704944178628,10
