held_out_period,endpoint,family,assignment,auc,test_elements
2,GroupBlock,raw,fixed,0.5733333333333334,8
2,StandardState,raw,fixed,0.921875,8
2,GroupBlock,A,fixed,0.5466666666666666,8
2,StandardState,A,fixed,0.921875,8
2,GroupBlock,A,random_00,0.5733333333333334,8
2,StandardState,A,random_00,0.921875,8
2,GroupBlock,A,random_01,0.64,8
2,StandardState,A,random_01,0.8229166666666666,8
2,GroupBlock,A,random_02,0.5333333333333333,8
2,StandardState,A,random_02,0.8489583333333334,8
2,GroupBlock,A,random_03,0.5466666666666666,8
2,StandardState,A,random_03,0.9114583333333334,8
2,GroupBlock,A,random_04,0.6,8
2,StandardState,A,random_04,0.90625,8
2,GroupBlock,A,random_05,0.52,8
2,StandardState,A,random_05,0.9895833333333334,8
2,GroupBlock,A,random_06,0.6,8
2,StandardState,A,random_06,0.9479166666666666,8
2,GroupBlock,A,random_07,0.52,8
2,StandardState,A,random_07,0.9010416666666666,8
2,GroupBlock,A,random_08,0.5466666666666666,8
2,StandardState,A,random_08,0.9166666666666666,8
2,GroupBlock,A,random_09,0.6266666666666667,8
2,StandardState,A,random_09,0.90625,8
2,GroupBlock,A,random_10,0.6266666666666667,8
2,StandardState,A,random_10,0.9010416666666666,8
2,GroupBlock,A,random_11,0.5733333333333334,8
2,StandardState,A,random_11,0.9270833333333334,8
2,GroupBlock,A,random_12,0.5733333333333334,8
2,StandardState,A,random_12,0.9427083333333334,8
2,GroupBlock,A,random_13,0.5466666666666666,8
2,StandardState,A,random_13,0.9166666666666666,8
2,GroupBlock,A,random_14,0.5066666666666667,8
2,StandardState,A,random_14,0.8645833333333334,8
2,GroupBlock,A,random_15,0.49333333333333335,8
2,StandardState,A,random_15,0.6875,8
2,GroupBlock,B,fixed,0.5066666666666667,8
2,StandardState,B,fixed,0.9270833333333334,8
2,GroupBlock,B,random_00,0.52,8
2,StandardState,B,random_00,0.875,8
2,GroupBlock,B,random_01,0.6533333333333333,8
2,StandardState,B,random_01,0.9114583333333334,8
2,GroupBlock,B,random_02,0.5333333333333333,8
2,StandardState,B,random_02,0.9010416666666666,8
2,GroupBlock,B,random_03,0.6533333333333333,8
2,StandardState,B,random_03,0.9583333333333334,8
2,GroupBlock,B,random_04,0.6533333333333333,8
2,StandardState,B,random_04,0.9739583333333334,8
2,GroupBlock,B,random_05,0.56,8
2,StandardState,B,random_05,0.8072916666666666,8
2,GroupBlock,B,random_06,0.49333333333333335,8
2,StandardState,B,random_06,0.984375,8
2,GroupBlock,B,random_07,0.52,8
2,StandardState,B,random_07,0.9791666666666666,8
2,GroupBlock,B,random_08,0.56,8
2,StandardState,B,random_08,0.8958333333333334,8
2,GroupBlock,B,random_09,0.5333333333333333,8
2,StandardState,B,random_09,0.9010416666666666,8
2,GroupBlock,B,random_10,0.5733333333333334,8
2,StandardState,B,random_10,0.890625,8
2,GroupBlock,B,random_11,0.6533333333333333,8
2,StandardState,B,random_11,0.8802083333333334,8
2,GroupBlock,B,random_12,0.6,8
2,StandardState,B,random_12,0.859375,8
2,GroupBlock,B,random_13,0.56,8
2,StandardState,B,random_13,0.96875,8
2,GroupBlock,B,random_14,0.56,8
2,StandardState,B,random_14,0.9583333333333334,8
2,GroupBlock,B,random_15,0.6666666666666666,8
2,StandardState,B,random_15,0.90625,8
2,GroupBlock,C,fixed,0.6266666666666667,8
2,StandardState,C,fixed,0.875,8
2,GroupBlock,C,random_00,0.6266666666666667,8
2,StandardState,C,random_00,0.9270833333333334,8
2,GroupBlock,C,random_01,0.44,8
2,StandardState,C,random_01,0.8958333333333334,8
2,GroupBlock,C,random_02,0.6,8
2,StandardState,C,random_02,0.8177083333333334,8
2,GroupBlock,C,random_03,0.5466666666666666,8
2,StandardState,C,random_03,0.9791666666666666,8
