target,split,config,n,mae,rmse,r2
Electronegativity,leave_period_out,z_poly,95,0.5749219226838016,0.6795644079507097,-0.15678766243329512
Electronegativity,leave_period_out,message_bits,95,0.5864732702299431,0.709675687775212,-0.26157261537926946
Electronegativity,leave_period_out,golay_bits,95,0.5865178390909216,0.7043695543266056,-0.24277798142677054
Electronegativity,leave_period_out,mog_planar,95,0.5632749717832831,0.6980980921867718,-0.22074597473649327
Electronegativity,leave_period_out,mog_stacked,95,0.5662485253801255,0.7021212259176705,-0.23485681685504822
Electronegativity,leave_period_out,mog_cylinder,95,0.5406245086347682,0.675618943782537,-0.14339433272997848
Electronegativity,leave_period_out,mog_sphere,95,0.5689349068268789,0.6936558223305218,-0.20525924257514228
Electronegativity,leave_period_out,gray_message_bits,95,0.627649340303057,0.7809337072462162,-0.5276389950860181
Electronegativity,leave_period_out,gray_golay_bits,95,0.6285912536928767,0.7960750226961671,-0.5874512400964662
Electronegativity,leave_period_out,gray_mog_planar,95,0.607029132468225,0.7387882241882291,-0.3672008746451092
Electronegativity,leave_period_out,gray_mog_stacked,95,0.601036808944608,0.7376990059006464,-0.3631724335450133
Electronegativity,leave_period_out,gray_mog_cylinder,95,0.5972786760187134,0.741358073615008,-0.37672893983045874
Electronegativity,leave_period_out,gray_mog_sphere,95,0.6515707791163391,0.8041083449181073,-0.6196513488002673
Electronegativity,leave_period_out,random_00,95,0.5601546866131889,0.6939642504071761,-0.2063312971089426
Electronegativity,leave_period_out,random_01,95,0.5145907356071272,0.6397358843462159,-0.025165123083755736
Electronegativity,leave_period_out,random_02,95,0.5116898110112694,0.6437856191027719,-0.03818545714565147
Electronegativity,leave_period_out,random_03,95,0.5394226886033925,0.6486965851665586,-0.05408497313706673
Electronegativity,leave_period_out,random_04,95,0.5560299094531509,0.6908151839255329,-0.19540797266783883
Electronegativity,leave_period_out,random_05,95,0.537110437692866,0.6610806528073291,-0.09471556538543213
Electronegativity,leave_period_out,random_06,95,0.5628219755702772,0.6799241071782152,-0.1580125816467648
Electronegativity,leave_period_out,random_07,95,0.5577902970893343,0.6805912345970074,-0.1602861322899085
Electronegativity,leave_group_out,z_poly,95,0.5424587202392132,0.6639364775774661,-0.10419419270133767
Electronegativity,leave_group_out,message_bits,95,0.5905283562900149,0.7122478251755585,-0.2707340354887273
Electronegativity,leave_group_out,golay_bits,95,0.6219916816520525,0.7528158159974612,-0.41961267396540314
Electronegativity,leave_group_out,mog_planar,95,0.60789582621255,0.7422499929292011,-0.380043585830643
Electronegativity,leave_group_out,mog_stacked,95,0.6127849666246854,0.740933556692833,-0.37515270448495586
Electronegativity,leave_group_out,mog_cylinder,95,0.5994824991138313,0.7370956216508094,-0.36094339327215974
Electronegativity,leave_group_out,mog_sphere,95,0.6517977962588251,0.7928938021966216,-0.574789262301846
Electronegativity,leave_group_out,gray_message_bits,95,0.5464040269383654,0.6729639710677358,-0.13442561999022962
Electronegativity,leave_group_out,gray_golay_bits,95,0.6043265922100404,0.7562526563751681,-0.4326042161109893
Electronegativity,leave_group_out,gray_mog_planar,95,0.6004409026377582,0.7333072184923818,-0.3469898365689208
Electronegativity,leave_group_out,gray_mog_stacked,95,0.5911955252565227,0.7260898293484058,-0.32060551180349206
Electronegativity,leave_group_out,gray_mog_cylinder,95,0.6032873284581634,0.7410711945021777,-0.37566365606484053
Electronegativity,leave_group_out,gray_mog_sphere,95,0.6207639216823156,0.7663453228430362,-0.47109737648375827
Electronegativity,leave_group_out,random_00,95,0.6003993441315526,0.7329882095808283,-0.34581813585540977
Electronegativity,leave_group_out,random_01,95,0.5626962211467548,0.6888617223072225,-0.1886568705664209
Electronegativity,leave_group_out,random_02,95,0.5558588273468884,0.6857556827044827,-0.17796185980357127
Electronegativity,leave_group_out,random_03,95,0.5823145307317705,0.6990073086043125,-0.2239278916802574
Electronegativity,leave_group_out,random_04,95,0.6041110921225997,0.7305064604194886,-0.3367202302290888
Electronegativity,leave_group_out,random_05,95,0.5999048236888881,0.7228271563838444,-0.3087639374400333
Electronegativity,leave_group_out,random_06,95,0.5940621025418646,0.7137536589691327,-0.2761128852675343
Electronegativity,leave_group_out,random_07,95,0.6087296141732805,0.7284151175999153,-0.3290774815975983
Electronegativity,shuffled_target,z_poly,95,0.5191636129372017,0.64840918144563,-0.05315115957879901
Electronegativity,shuffled_target,mog_planar,95,0.5679515438573358,0.696116059241542,-0.21382395625930806
AtomicRadius,leave_period_out,z_poly,99,24.87359266395258,35.10302174510022,0.16320624373787318
AtomicRadius,leave_period_out,message_bits,99,26.881000453502445,36.179921765963314,0.11107591842476139
AtomicRadius,leave_period_out,golay_bits,99,28.566089590152593,37.697230677063494,0.034953324151210774
AtomicRadius,leave_period_out,mog_planar,99,31.817477807867476,41.47023390523454,-0.16789122325600392
AtomicRadius,leave_period_out,mog_stacked,99,33.17358335777257,42.70477397333321,-0.23846084351630314
AtomicRadius,leave_period_out,mog_cylinder,99,33.20370057364392,42.446357719531136,-0.2235177788638376
AtomicRadius,leave_period_out,mog_sphere,99,33.123898735936265,42.46644957160142,-0.22467634971047223
AtomicRadius,leave_period_out,gray_message_bits,99,37.10837734985792,45.704316486530736,-0.41854743124223504
AtomicRadius,leave_period_out,gray_golay_bits,99,37.782778290802064,45.91066759380421,-0.43138558991281983
AtomicRadius,leave_period_out,gray_mog_planar,99,35.42684812654523,46.33503852377121,-0.45796964394121686
AtomicRadius,leave_period_out,gray_mog_stacked,99,35.52866160324214,47.18292491521221,-0.5118167205662616
AtomicRadius,leave_period_out,gray_mog_cylinder,99,34.339190713605866,45.73696151989433,-0.4205745949800408
AtomicRadius,leave_period_out,gray_mog_sphere,99,36.233280511568594,47.22337265324065,-0.5144098525993952
AtomicRadius,leave_period_out,random_00,99,31.354462473574852,41.91780775151301,-0.19323655035005438
AtomicRadius,leave_period_out,random_01,99,30.703555105726902,40.41350270546175,-0.10912989453369626
AtomicRadius,leave_period_out,random_02,99,28.95677045672319,39.11445206626605,-0.03897219831337573
AtomicRadius,leave_period_out,random_03,99,31.104558954229972,40.608513919101085,-0.11985970519532341
AtomicRadius,leave_period_out,random_04,99,32.81542934020441,43.26837072081375,-0.271365754137598
AtomicRadius,leave_period_out,random_05,99,30.60507974175668,40.737331206411724,-0.12697575452025567
AtomicRadius,leave_period_out,random_06,99,27.01113905614403,37.267513971105146,0.0568293651579328
AtomicRadius,leave_period_out,random_07,99,30.345369048062643,39.205720124330036,-0.04382644528660107
AtomicRadius,leave_group_out,z_poly,99,22.813267647683354,33.304585397846665,0.24675286583257794
AtomicRadius,leave_group_out,message_bits,99,24.226400940508864,34.50126193868987,0.19165010617552647
AtomicRadius,leave_group_out,golay_bits,99,27.74012834872098,38.42038107042559,-0.0024270122203116085
AtomicRadius,leave_group_out,mog_planar,99,32.76294737769144,42.131537077887394,-0.20543565267794928
AtomicRadius,leave_group_out,mog_stacked,99,33.25571955066435,42.59333756195307,-0.23200584779166022
AtomicRadius,leave_group_out,mog_cylinder,99,33.06203670818282,42.482711851846595,-0.22561449469662453
AtomicRadius,leave_group_out,mog_sphere,99,33.16796584020207,43.15943621763768,-0.26497211125552256
AtomicRadius,leave_group_out,gray_message_bits,99,28.736781863231112,38.22170711881244,0.007913395989976646
AtomicRadius,leave_group_out,gray_golay_bits,99,31.998321576636,40.766146617064265,-0.12857064321232348
AtomicRadius,leave_group_out,gray_mog_planar,99,34.70298749152016,45.59404796312441,-0.4117107712544068
AtomicRadius,leave_group_out,gray_mog_stacked,99,34.93659389135311,47.66737723850391,-0.5430213612817485
AtomicRadius,leave_group_out,gray_mog_cylinder,99,33.69867275316936,45.39566894454004,-0.39945283168223455
