relation,fold,test_elements,configuration,test_auc,selected_layout_index,selected_train_auc
same_group_block,0,23,atomic_number,0.56368407578085,,
same_group_block,0,23,gray_message,0.6526497695852534,,
same_group_block,0,23,golay_hamming,0.6033666154633897,,
same_group_block,0,23,spatial_arithmetic,0.5563236047107015,,
same_group_block,0,23,fixed_mog_geometry,0.6309523809523809,,
same_group_block,0,23,training_selected_mog_geometry,0.6025345622119815,12,0.6062202608552036
same_group_block,1,24,atomic_number,0.5835561497326203,,
same_group_block,1,24,gray_message,0.6022727272727273,,
same_group_block,1,24,golay_hamming,0.6870442391832766,,
same_group_block,1,24,spatial_arithmetic,0.5797277588721439,,
same_group_block,1,24,fixed_mog_geometry,0.5438138065143413,,
same_group_block,1,24,training_selected_mog_geometry,0.5226057365094798,97,0.6119643868369723
same_group_block,2,24,atomic_number,0.5563722718534434,,
same_group_block,2,24,gray_message,0.5762184778921181,,
same_group_block,2,24,golay_hamming,0.6132534207848015,,
same_group_block,2,24,spatial_arithmetic,0.558860115345471,,
same_group_block,2,24,fixed_mog_geometry,0.5591993667307474,,
same_group_block,2,24,training_selected_mog_geometry,0.5456293113196878,113,0.6091305084160789
same_group_block,3,24,atomic_number,0.5811347336065574,,
same_group_block,3,24,gray_message,0.5908043032786885,,
same_group_block,3,24,golay_hamming,0.5348360655737705,,
same_group_block,3,24,spatial_arithmetic,0.5724897540983607,,
same_group_block,3,24,fixed_mog_geometry,0.4806608606557377,,
same_group_block,3,24,training_selected_mog_geometry,0.4334016393442623,70,0.6055606241741647
same_group_block,4,23,atomic_number,0.5577956989247311,,
same_group_block,4,23,gray_message,0.5013440860215054,,
same_group_block,4,23,golay_hamming,0.5328981054787506,,
same_group_block,4,23,spatial_arithmetic,0.55094726062468,,
same_group_block,4,23,fixed_mog_geometry,0.4797747055811572,,
same_group_block,4,23,training_selected_mog_geometry,0.5161290322580645,12,0.6092720421815537
same_standard_state,0,23,atomic_number,0.5851876234364713,,
same_standard_state,0,23,gray_message,0.5068795260039499,,
same_standard_state,0,23,golay_hamming,0.4839697169190257,,
same_standard_state,0,23,spatial_arithmetic,0.5926925608953258,,
same_standard_state,0,23,fixed_mog_geometry,0.4365371955233706,,
same_standard_state,0,23,training_selected_mog_geometry,0.476366030283081,44,0.5955591168439471
same_standard_state,1,24,atomic_number,0.5973691654879774,,
same_standard_state,1,24,gray_message,0.4684299858557284,,
same_standard_state,1,24,golay_hamming,0.4933521923620934,,
same_standard_state,1,24,spatial_arithmetic,0.6063366336633663,,
same_standard_state,1,24,fixed_mog_geometry,0.36803394625176805,,
same_standard_state,1,24,training_selected_mog_geometry,0.48254596888260254,111,0.5884375518208494
same_standard_state,2,24,atomic_number,0.7095898161244696,,
same_standard_state,2,24,gray_message,0.545940594059406,,
same_standard_state,2,24,golay_hamming,0.5559264497878359,,
same_standard_state,2,24,spatial_arithmetic,0.717001414427157,,
same_standard_state,2,24,fixed_mog_geometry,0.5673550212164074,,
same_standard_state,2,24,training_selected_mog_geometry,0.6096181046676096,44,0.5661968242981805
same_standard_state,3,24,atomic_number,0.6645210963966739,,
same_standard_state,3,24,gray_message,0.5271019402525408,,
same_standard_state,3,24,golay_hamming,0.5283030489682784,,
same_standard_state,3,24,spatial_arithmetic,0.6630736064059132,,
same_standard_state,3,24,fixed_mog_geometry,0.5348321527563905,,
same_standard_state,3,24,training_selected_mog_geometry,0.5644595010779181,44,0.5877448404053776
same_standard_state,4,23,atomic_number,0.5675139334571863,,
same_standard_state,4,23,gray_message,0.5324269549062658,,
same_standard_state,4,23,golay_hamming,0.613409896976862,,
same_standard_state,4,23,spatial_arithmetic,0.5669650396892417,,
same_standard_state,4,23,fixed_mog_geometry,0.4429150481337612,,
same_standard_state,4,23,training_selected_mog_geometry,0.42408376963350786,121,0.6015951389606684
