candidate_id,topology,series_kind,series_value,series_unit,shunt_kind,shunt_value,shunt_unit,x0,b0,centre_gamma,mean_gamma,worst_gamma,mean_reflected_power,worst_vswr,raw_z_distance,smith_score,glm_score
REF-00064,series_then_shunt,C,8.121841679517462e-12,F,L,1.4280161194755972e-08,H,-0.3999999999999999,-0.5687500000000001,0.1148630016604517,0.16674053607152242,0.24613788223383654,0.02958331184724449,1.6530050427873726,0.32121165740812413,0.16674053607152242,
REF-00214,series_then_shunt,C,8.121841679517462e-12,F,L,1.4280161194755977e-08,H,-0.3999999999999999,-0.5687499999999999,0.11486300166045184,0.16674053607152245,0.24613788223383654,0.029583311847244508,1.6530050427873726,0.32121165740812424,0.16674053607152245,
LNET-00756,series_then_shunt,C,8.121841679517462e-12,F,L,1.3536402799195764e-08,H,-0.3999999999999999,-0.6000000000000001,0.10152418518673847,0.15940867099023953,0.24892772315725833,0.02765059814857383,1.6628595697971114,0.30728804116614905,0.15940867099023953,
REF-00295,series_then_shunt,L,3.5025442242919076e-09,H,C,1.502540710710729e-12,F,0.43125000000000036,0.46249999999999963,0.15755394756678356,0.19455775284246227,0.25772712464032094,0.038839036387724346,1.6944268966192133,0.3721757453537478,0.19455775284246227,
REF-00145,series_then_shunt,L,3.5025442242919076e-09,H,C,1.5025407107107312e-12,F,0.43125000000000036,0.46250000000000036,0.15755394756678323,0.19455775284246202,0.25772712464032105,0.03883903638772426,1.6944268966192133,0.3721757453537473,0.19455775284246202,
LNET-00925,series_then_shunt,L,3.248736671806987e-09,H,C,1.2994946687227947e-12,F,0.40000000000000036,0.40000000000000036,0.1797919366920403,0.21005911584275577,0.2630883306777986,0.04479513716402429,1.7140294871969737,0.3887341214937143,0.21005911584275577,
LNET-00755,series_then_shunt,C,8.121841679517462e-12,F,L,1.0152302099396829e-08,H,-0.3999999999999999,-0.7999999999999998,0.04533042532126207,0.14193155297958787,0.2735015198012067,0.026353849178367174,1.7529307417859097,0.27097123149841196,0.14193155297958787,
LNET-00926,series_then_shunt,L,3.248736671806987e-09,H,C,1.949242003084189e-12,F,0.40000000000000036,0.5999999999999996,0.11561867242346589,0.15384459760498184,0.2867291106553688,0.027042689475393112,1.8039837737351705,0.28587328339533863,0.15384459760498184,
REF-00361,shunt_then_series,none,0.0,,L,2.1658244478713223e-07,H,0.0,-0.037500000000000006,0.24935087189197097,0.26414522239384536,0.29217774830356946,0.06993900903965827,1.8255681355122984,0.42485765331816705,0.26414522239384536,
REF-00511,shunt_then_series,none,0.0,,L,2.1658244478713128e-07,H,-1.6653345369377348e-16,-0.03750000000000017,0.24935087189197097,0.2641452223938454,0.29217774830356946,0.06993900903965826,1.8255681355122984,0.42485765331816705,0.2641452223938454,
REF-00436,shunt_then_series,none,0.0,,L,2.165824447871332e-07,H,1.6653345369377348e-16,-0.03749999999999984,0.24935087189197094,0.26414522239384536,0.2921777483035695,0.06993900903965829,1.8255681355122984,0.42485765331816705,0.26414522239384536,
REF-00586,shunt_then_series,none,0.0,,L,2.1658244478713128e-07,H,0.0,-0.03750000000000017,0.24935087189197097,0.2641452223938454,0.2921777483035695,0.06993900903965827,1.8255681355122984,0.42485765331816705,0.2641452223938454,
LNET-00799,series_then_shunt,C,1.6243683359034905e-11,F,L,4.060920839758726e-08,H,-0.20000000000000018,-0.20000000000000018,0.23297593714601894,0.2500105323307919,0.2927047922661945,0.06275854472535825,1.8276736193477945,0.4177420535756077,0.2500105323307919,
LNET-00883,series_then_shunt,L,1.6243683359034936e-09,H,C,6.497473343613974e-13,F,0.20000000000000018,0.20000000000000018,0.23209240041603493,0.2485302375430269,0.29531377759566846,0.062055565305627475,1.8381426178252276,0.4120577583191986,0.2485302375430269,
LNET-00757,series_then_shunt,C,8.121841679517462e-12,F,L,2.0304604198793658e-08,H,-0.3999999999999999,-0.3999999999999999,0.18897572242106642,0.21608961320128267,0.30120695444141476,0.047591779460674284,1.8620777105777946,0.40738707790678447,0.21608961320128267,
LNET-00798,series_then_shunt,C,1.6243683359034905e-11,F,L,2.0304604198793658e-08,H,-0.20000000000000018,-0.3999999999999999,0.19411552422269177,0.21405138909507676,0.30248374282993473,0.04784025612779625,1.8673166817850513,0.35966136950722566,0.21405138909507676,
LNET-00841,series_then_shunt,none,0.0,,none,0.0,,0.0,0.0,0.2508379339096232,0.26544294172559457,0.3048652935172617,0.07066557447578291,1.8771401878632348,0.4266790802564079,0.26544294172559457,
LNET-02522,shunt_then_series,none,0.0,,none,0.0,,0.0,0.0,0.2508379339096232,0.26544294172559457,0.3048652935172617,0.07066557447578291,1.8771401878632348,0.4266790802564079,0.26544294172559457,
LNET-02564,shunt_then_series,L,1.6243683359034936e-09,H,C,6.497473343613974e-13,F,0.20000000000000018,0.20000000000000018,0.26941167962363566,0.2826394519585323,0.3145661691150548,0.08003205387273271,1.9178600615873507,0.45345857454483646,0.2826394519585323,
LNET-00927,series_then_shunt,L,3.248736671806987e-09,H,C,2.5989893374455867e-12,F,0.40000000000000036,0.7999999999999998,0.10033819188188096,0.14576369037125506,0.3187722099710188,0.028420771474785222,1.9358755313181146,0.26654518896971385,0.14576369037125506,
LNET-02480,shunt_then_series,C,1.6243683359034905e-11,F,L,4.060920839758726e-08,H,-0.20000000000000018,-0.20000000000000018,0.2686749009248943,0.28121880264148014,0.3191363371834809,0.07926582585588555,1.9374456432681813,0.4547812610447384,0.28121880264148014,
LNET-00840,series_then_shunt,none,0.0,,L,4.060920839758726e-08,H,0.0,-0.20000000000000018,0.25149230852338866,0.2641978514151488,0.3302764419254733,0.07092791040920049,1.9863067767095637,0.42384189070537087,0.2641978514151488,
LNET-02521,shunt_then_series,none,0.0,,L,4.060920839758726e-08,H,0.0,-0.20000000000000018,0.25149230852338866,0.2641978514151488,0.3302764419254733,0.07092791040920049,1.9863067767095637,0.42384189070537087,0.2641978514151488,
LNET-00884,series_then_shunt,L,1.6243683359034936e-09,H,C,1.2994946687227947e-12,F,0.20000000000000018,0.40000000000000036,0.2153267101504909,0.21790531583777198,0.3342448051313267,0.05068515032915814,2.004107238539114,0.3615038131265238,0.21790531583777198,
